source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2585,163,5.438767,1,1,0,179.604048,79.996518,-44.14582,0.1001,0.035503,-0.196933,0.199764,,
2586,164,5.472133,1,1,0,167.976822,88.371335,-68.980266,0.1001,0.071493,-0.24098,0.05885,,
2587,165,5.5055,1,1,0,173.843005,108.132104,-60.940838,0.1001,0.016803,-0.220769,0.121516,,
2588,166,5.538867,1,1,0,169.882088,119.195187,-75.192394,0.1001,0.014706,-0.093057,-0.01972,,
2589,167,5.572233,1,1,0,160.883011,127.006611,-64.668352,0.1001,-0.006712,-0.019823,-0.006558,,
2590,168,5.6056,1,1,0,157.399346,127.100081,2.966811,0.1001,-0.018951,0.008537,-0.163633,,
2591,169,5.638967,1,1,0,154.767231,126.221019,4.385965,0.1001,-0.051174,0.012674,-0.157119,,
2592,170,5.672333,1,1,0,149.874231,126.088548,5.093685,0.1001,-0.05462,0.02179,-0.238274,,
2593,171,5.7057,1,1,0,148.23845,119.733816,10.825809,0.1001,-0.039891,0.053318,-0.27595,,
2594,172,5.739067,1,1,0,143.606947,120.506286,9.373371,0.1001,-0.037308,0.05074,-0.305108,,
2595,173,5.772433,1,1,0,146.757383,123.896469,9.725955,0.1001,-0.062784,0.04651,-0.263993,,
2596,174,5.8058,1,1,0,150.042059,132.379654,8.447335,0.1001,-0.100558,0.035602,-0.217614,,
2597,175,5.839167,0,1,1,,140.987772,27.777169,0.1001,-0.163582,0.167281,-0.272214,,
2598,176,5.872533,1,1,0,166.251081,149.226168,47.013535,0.1001,-0.160065,0.267576,-0.191258,,
2599,177,5.9059,1,1,0,157.683117,143.581002,67.343936,0.1001,-0.10559,0.332543,-0.0901,,
2600,178,5.939267,1,1,0,109.793603,113.955291,63.916165,0.1001,0.082697,0.200095,0.052502,,
2601,179,5.972633,1,1,0,71.295081,95.576095,27.629476,0.1001,0.087025,0.08458,0.136148,,
2602,180,6.006,1,1,0,48.485466,80.962384,7.10186,0.1001,0.058846,0.02833,0.219639,,
2603,181,6.039367,1,1,0,27.475624,78.308614,-8.066254,0.1001,-0.061019,-0.043178,0.298499,,
2604,182,6.072733,1,1,0,33.291426,67.882541,-18.877464,0.1001,-0.031936,-0.102014,0.296627,,
2605,183,6.1061,1,1,0,35.963909,54.281088,-43.378101,0.1001,0.017148,-0.248455,0.262376,,
2606,184,6.139467,1,1,0,98.575798,63.765312,-44.847123,0.1001,0.091493,-0.280657,0.266914,,
2607,185,6.172833,1,1,0,144.892297,72.621385,-45.333204,0.1001,0.129128,-0.279907,0.244688,,
2608,186,6.2062,1,1,0,154.1252,88.49551,-43.089733,0.1001,0.122232,-0.189882,0.162057,,
2609,187,6.239567,1,1,0,157.473706,104.078004,-40.441886,0.1001,0.081309,-0.096533,0.078844,,
2610,188,6.272933,1,1,0,157.377307,122.63095,-51.117054,0.1001,0.000897,-0.030222,-0.024355,,
2611,189,6.3063,1,1,0,160.927746,127.798502,0.239205,0.1001,-0.052244,0.000384,-0.0756,,
2612,190,6.339667,1,1,0,157.203769,133.656491,5.512716,0.1001,-0.096647,0.017063,-0.148037,,
2613,191,6.373033,1,1,0,151.758538,125.955296,10.634085,0.1001,-0.086133,0.04428,-0.219538,,
2614,192,6.4064,1,1,0,147.657375,121.865175,16.458587,0.1001,-0.059513,0.069625,-0.228039,,
2615,193,6.439767,1,1,0,143.256457,116.37611,19.421747,0.1001,-0.026317,0.081755,-0.230375,,
2616,194,6.473133,1,1,0,139.406083,115.558284,12.405014,0.1001,-0.040927,0.057493,-0.258158,,
2617,195,6.5065,1,1,0,138.617643,120.471799,13.14194,0.1001,-0.074359,0.078523,-0.327992,,
2618,196,6.539867,1,1,0,142.837452,124.241523,24.503516,0.1001,-0.071565,0.153461,-0.32899,,
2619,197,6.573233,1,1,0,138.129861,124.551061,44.794065,0.1001,-0.042763,0.211877,-0.209077,,
2620,198,6.6066,1,1,0,128.142535,121.420995,60.295357,0.1001,0.028466,0.154638,-0.083502,,
2621,199,6.639967,1,1,0,102.578513,110.638926,25.844535,0.1001,0.101217,0.058754,-0.066846,,
2622,200,6.673333,1,1,0,72.443059,101.965372,30.230606,0.1001,0.116854,0.069287,0.021964,,
2623,201,6.7067,1,1,0,64.405557,100.637338,32.974614,0.1001,0.128144,0.112117,0.115945,,
2624,202,6.740067,1,1,0,53.074017,104.297804,2.409276,0.1001,0.061024,0.01277,0.297311,,
2625,203,6.773433,1,1,0,31.448418,83.97068,-7.48578,0.1001,0.154895,-0.045148,0.306694,,
2626,204,6.8068,1,1,0,16.090403,68.11565,-20.085436,0.1001,0.139028,-0.138136,0.35126,,
2627,205,6.840167,1,1,0,58.356797,66.82903,-17.01509,0.1001,0.136655,-0.098833,0.292628,,
2628,206,6.873533,1,1,0,136.58459,69.862513,-27.856852,0.1001,0.029375,-0.155207,0.292197,,
2629,207,6.9069,1,1,0,170.255423,78.772146,-30.188202,0.1001,-0.027554,-0.165433,0.283038,,
2630,208,6.940267,1,1,0,178.140757,93.929702,-41.767186,0.1001,-0.079561,-0.197514,0.206356,,
2631,209,6.973633,1,1,0,176.960818,109.896107,-44.237217,0.1001,-0.115116,-0.177086,0.140795,,
2632,210,7.007,1,1,0,179.375207,127.411843,-39.020068,0.1001,-0.129146,-0.104658,0.000893,,
2633,211,7.040367,1,1,0,175.810981,131.698924,-5.73325,0.1001,-0.102591,-0.010304,0.002836,,
2634,212,7.073733,1,1,0,171.939461,136.866599,5.103075,0.1001,-0.080074,0.009079,-0.062647,,
2635,213,7.1071,1,1,0,165.90214,130.974344,-0.668825,0.1001,-0.055067,-0.000891,-0.052898,,
2636,214,7.140467,1,1,0,161.498573,125.811845,-2.239238,0.1001,-0.058951,-0.004087,-0.086321,,
2637,215,7.173833,1,1,0,158.798229,121.135111,3.460859,0.1001,-0.058153,0.007452,-0.108635,540.124046,569.722222
2638,216,7.2072,1,1,0,159.191805,120.098975,6.600539,0.1001,-0.066755,0.019554,-0.15524,545.276402,568.279153
2639,217,7.240567,1,1,0,158.473398,120.63079,9.886177,0.1001,-0.061336,0.02118,-0.104919,549.819306,567.215169
2640,218,7.273933,1,1,0,158.79122,121.106276,10.681445,0.1001,-0.060057,0.025587,-0.121641,555.934347,566.418535
2641,219,7.3073,1,1,0,156.928063,124.941563,4.427526,0.1001,-0.049625,0.007772,-0.087255,562.855588,566.104018
2642,220,7.340667,1,1,0,156.815845,121.484204,4.274991,0.1001,-0.03051,0.015692,-0.207691,572.437375,565.629637
